"var"	"t"	"data"
"C_M"	0	13.2771650163041
"C_M"	0.1	13.1965905712845
"C_M"	0.2	15.6285999344997
"C_M"	0.3	19.4455454027683
"C_M"	0.4	20.0575422793238
"C_M"	0.5	23.1763071031044
"C_M"	0.6	27.3403012817224
"C_M"	0.7	24.3402582958963
"C_M"	0.8	21.328623416995
"C_M"	0.9	23.4716465936854
"C_M"	1	18.8371941212711
"C_M"	1.1	16.6151175222398
"C_M"	1.2	15.4690599171259
"C_M"	1.3	16.0680500713297
"C_M"	1.4	17.5533281583612
"C_M"	1.5	10.9648836964129
"C_M"	1.6	10.8740543273713
"C_M"	1.7	6.19955505071927
"C_M"	1.8	10.9587467880988
"C_M"	1.9	4.85805407935674
"C_M"	2	8.14207996315109
"C_S"	0	48.1029288697715
"C_S"	0.1	45.1167600670521
"C_S"	0.2	36.2852271103403
"C_S"	0.3	32.0684111505528
"C_S"	0.4	19.684587369128
"C_S"	0.5	10.0730484973895
"C_S"	0.6	3.34246253950026
"C_S"	0.7	2.72828094090318
"C_S"	0.8	1.50775403053898
"C_S"	0.9	0
"C_S"	1	0.698594968599575
"C_S"	1.1	0.584970162316737
"C_S"	1.2	1.16405751637053
"C_S"	1.3	0.576683235630882
"C_S"	1.4	2.09816587799901
"C_S"	1.5	0.481492633122938
"C_S"	1.6	0
"C_S"	1.7	2.89260157422818
"C_S"	1.8	3.0759958577185
"C_S"	1.9	0.155326765606442
"C_S"	2	0.864268696355167
