"t" "C_M" "C_S"
0 13.2771650163041 48.1029288697715
0.1 13.1965905712845 45.1167600670521
0.2 15.6285999344997 36.2852271103403
0.3 19.4455454027683 32.0684111505528
0.4 20.0575422793238 19.684587369128
0.5 23.1763071031044 10.0730484973895
0.6 27.3403012817224 3.34246253950026
0.7 24.3402582958963 2.72828094090318
0.8 21.328623416995 1.50775403053898
0.9 23.4716465936854 0
1 18.8371941212711 0.698594968599575
1.1 16.6151175222398 0.584970162316737
1.2 15.4690599171259 1.16405751637053
1.3 16.0680500713297 0.576683235630882
1.4 17.5533281583612 2.09816587799901
1.5 10.9648836964129 0.481492633122938
1.6 10.8740543273713 0
1.7 6.19955505071927 2.89260157422818
1.8 10.9587467880988 3.0759958577185
1.9 4.85805407935674 0.155326765606442
2 8.14207996315109 0.864268696355167
